,lon,lat,nltk_sentiment,count,total,%neg
123,103.720679309,1.33364174742,Negative,42,534,7.865168539325842
124,103.720679309,1.33364174742,Neutral,250,534,46.81647940074906
125,103.720679309,1.33364174742,Positive,242,534,45.31835205992509
126,103.720679309,1.34364174742,Negative,29,459,6.318082788671024
127,103.720679309,1.34364174742,Neutral,300,459,65.359477124183
128,103.720679309,1.34364174742,Positive,130,459,28.322440087145967
129,103.720679309,1.35364174742,Negative,30,528,5.681818181818182
130,103.720679309,1.35364174742,Neutral,290,528,54.92424242424242
131,103.720679309,1.35364174742,Positive,208,528,39.39393939393939
132,103.720679309,1.37364174742,Negative,5,75,6.666666666666667
133,103.720679309,1.37364174742,Neutral,34,75,45.33333333333333
134,103.720679309,1.37364174742,Positive,36,75,48.0
135,103.720679309,1.41364174742,Negative,6,29,20.689655172413797
136,103.720679309,1.41364174742,Neutral,13,29,44.82758620689656
137,103.720679309,1.41364174742,Positive,10,29,34.48275862068966
138,103.720679309,1.42364174742,Negative,3,31,9.67741935483871
139,103.720679309,1.42364174742,Neutral,20,31,64.51612903225806
140,103.720679309,1.42364174742,Positive,8,31,25.806451612903224
141,103.730679309,1.31364174742,Negative,3,35,8.571428571428571
142,103.730679309,1.31364174742,Neutral,14,35,40.0
143,103.730679309,1.31364174742,Positive,18,35,51.42857142857142
144,103.730679309,1.32364174742,Neutral,8,17,47.05882352941176
145,103.730679309,1.32364174742,Positive,9,17,52.94117647058824
146,103.730679309,1.33364174742,Negative,16,251,6.374501992031872
147,103.730679309,1.33364174742,Neutral,136,251,54.18326693227091
148,103.730679309,1.33364174742,Positive,99,251,39.44223107569721
149,103.730679309,1.34364174742,Negative,59,694,8.501440922190202
150,103.730679309,1.34364174742,Neutral,351,694,50.57636887608069
151,103.730679309,1.34364174742,Positive,284,694,40.92219020172911
152,103.730679309,1.35364174742,Negative,9,87,10.344827586206897
153,103.730679309,1.35364174742,Neutral,54,87,62.06896551724138
154,103.730679309,1.35364174742,Positive,24,87,27.58620689655172
155,103.730679309,1.38364174742,Negative,2,22,9.090909090909092
156,103.730679309,1.38364174742,Neutral,13,22,59.09090909090909
157,103.730679309,1.38364174742,Positive,7,22,31.818181818181817
158,103.730679309,1.42364174742,Negative,1,17,5.88235294117647
159,103.730679309,1.42364174742,Neutral,9,17,52.94117647058824
160,103.730679309,1.42364174742,Positive,7,17,41.17647058823529
161,103.730679309,1.44364174742,Negative,28,264,10.606060606060606
162,103.730679309,1.44364174742,Neutral,122,264,46.21212121212121
163,103.730679309,1.44364174742,Positive,114,264,43.18181818181818
164,103.740679309,1.31364174742,Negative,1,30,3.333333333333333
165,103.740679309,1.31364174742,Neutral,20,30,66.66666666666666
166,103.740679309,1.31364174742,Positive,9,30,30.0
167,103.740679309,1.32364174742,Negative,16,140,11.428571428571429
168,103.740679309,1.32364174742,Neutral,75,140,53.57142857142857
169,103.740679309,1.32364174742,Positive,49,140,35.0
170,103.740679309,1.33364174742,Negative,265,2830,9.363957597173144
171,103.740679309,1.33364174742,Neutral,1350,2830,47.70318021201413
172,103.740679309,1.33364174742,Positive,1215,2830,42.93286219081272
173,103.740679309,1.34364174742,Negative,28,272,10.294117647058822
174,103.740679309,1.34364174742,Neutral,168,272,61.76470588235294
175,103.740679309,1.34364174742,Positive,76,272,27.94117647058824
176,103.740679309,1.35364174742,Negative,15,296,5.067567567567568
177,103.740679309,1.35364174742,Neutral,208,296,70.27027027027027
178,103.740679309,1.35364174742,Positive,73,296,24.66216216216216
179,103.740679309,1.36364174742,Negative,5,72,6.944444444444445
180,103.740679309,1.36364174742,Neutral,45,72,62.5
181,103.740679309,1.36364174742,Positive,22,72,30.55555555555556
182,103.740679309,1.37364174742,Negative,27,246,10.975609756097562
183,103.740679309,1.37364174742,Neutral,149,246,60.56910569105691
184,103.740679309,1.37364174742,Positive,70,246,28.455284552845526
185,103.740679309,1.38364174742,Negative,36,480,7.5
186,103.740679309,1.38364174742,Neutral,306,480,63.74999999999999
187,103.740679309,1.38364174742,Positive,138,480,28.75
188,103.740679309,1.39364174742,Negative,9,210,4.285714285714286
189,103.740679309,1.39364174742,Neutral,159,210,75.71428571428571
190,103.740679309,1.39364174742,Positive,42,210,20.0
191,103.740679309,1.40364174742,Negative,6,87,6.896551724137931
192,103.740679309,1.40364174742,Neutral,50,87,57.47126436781609
193,103.740679309,1.40364174742,Positive,31,87,35.63218390804598
194,103.750679309,1.22364174742,Negative,6,53,11.320754716981131
195,103.750679309,1.22364174742,Neutral,19,53,35.84905660377358
196,103.750679309,1.22364174742,Positive,28,53,52.83018867924528
197,103.750679309,1.30364174742,Negative,2,31,6.451612903225806
198,103.750679309,1.30364174742,Neutral,18,31,58.06451612903226
199,103.750679309,1.30364174742,Positive,11,31,35.483870967741936
200,103.750679309,1.31364174742,Negative,28,133,21.052631578947366
201,103.750679309,1.31364174742,Neutral,51,133,38.34586466165413
202,103.750679309,1.31364174742,Positive,54,133,40.6015037593985
203,103.750679309,1.32364174742,Negative,18,287,6.2717770034843205
204,103.750679309,1.32364174742,Neutral,152,287,52.9616724738676
205,103.750679309,1.32364174742,Positive,117,287,40.76655052264808
206,103.750679309,1.33364174742,Negative,50,387,12.919896640826872
207,103.750679309,1.33364174742,Neutral,214,387,55.29715762273901
208,103.750679309,1.33364174742,Positive,123,387,31.782945736434108
209,103.750679309,1.34364174742,Negative,17,234,7.264957264957266
210,103.750679309,1.34364174742,Neutral,136,234,58.119658119658126
211,103.750679309,1.34364174742,Positive,81,234,34.61538461538461
212,103.750679309,1.35364174742,Negative,51,554,9.2057761732852
213,103.750679309,1.35364174742,Neutral,349,554,62.99638989169674
214,103.750679309,1.35364174742,Positive,154,554,27.79783393501805
215,103.750679309,1.36364174742,Negative,23,254,9.05511811023622
216,103.750679309,1.36364174742,Neutral,159,254,62.59842519685039
217,103.750679309,1.36364174742,Positive,72,254,28.346456692913385
218,103.750679309,1.37364174742,Negative,30,269,11.152416356877325
219,103.750679309,1.37364174742,Neutral,127,269,47.21189591078067
220,103.750679309,1.37364174742,Positive,112,269,41.63568773234201
221,103.750679309,1.38364174742,Negative,96,931,10.311493018259936
222,103.750679309,1.38364174742,Neutral,426,931,45.75725026852847
223,103.750679309,1.38364174742,Positive,409,931,43.9312567132116
224,103.750679309,1.39364174742,Negative,40,510,7.84313725490196
225,103.750679309,1.39364174742,Neutral,327,510,64.11764705882354
226,103.750679309,1.39364174742,Positive,143,510,28.03921568627451
227,103.750679309,1.40364174742,Negative,6,159,3.7735849056603774
228,103.750679309,1.40364174742,Neutral,94,159,59.11949685534591
229,103.750679309,1.40364174742,Positive,59,159,37.10691823899371
230,103.750679309,1.41364174742,Negative,3,42,7.142857142857142
231,103.750679309,1.41364174742,Neutral,8,42,19.047619047619047
232,103.750679309,1.41364174742,Positive,31,42,73.80952380952381
233,103.750679309,1.43364174742,Negative,6,78,7.6923076923076925
234,103.750679309,1.43364174742,Neutral,33,78,42.30769230769231
235,103.750679309,1.43364174742,Positive,39,78,50.0
236,103.750679309,1.45364174742,Negative,5,116,4.310344827586207
237,103.750679309,1.45364174742,Neutral,68,116,58.620689655172406
238,103.750679309,1.45364174742,Positive,43,116,37.06896551724138
239,103.760679309,1.29364174742,Negative,17,164,10.365853658536585
240,103.760679309,1.29364174742,Neutral,76,164,46.34146341463415
241,103.760679309,1.29364174742,Positive,71,164,43.29268292682927
242,103.760679309,1.30364174742,Negative,13,179,7.262569832402235
243,103.760679309,1.30364174742,Neutral,107,179,59.77653631284916
244,103.760679309,1.30364174742,Positive,59,179,32.960893854748605
245,103.760679309,1.31364174742,Negative,240,1826,13.143483023001096
246,103.760679309,1.31364174742,Neutral,874,1826,47.86418400876232
247,103.760679309,1.31364174742,Positive,712,1826,38.99233296823658
248,103.760679309,1.32364174742,Negative,66,545,12.110091743119266
249,103.760679309,1.32364174742,Neutral,204,545,37.43119266055046
250,103.760679309,1.32364174742,Positive,275,545,50.45871559633027
251,103.760679309,1.33364174742,Negative,3,48,6.25
252,103.760679309,1.33364174742,Neutral,27,48,56.25
253,103.760679309,1.33364174742,Positive,18,48,37.5
254,103.760679309,1.34364174742,Negative,17,228,7.456140350877193
255,103.760679309,1.34364174742,Neutral,144,228,63.1578947368421
256,103.760679309,1.34364174742,Positive,67,228,29.385964912280706
257,103.760679309,1.35364174742,Negative,33,404,8.16831683168317
258,103.760679309,1.35364174742,Neutral,246,404,60.89108910891089
259,103.760679309,1.35364174742,Positive,125,404,30.94059405940594
260,103.760679309,1.36364174742,Negative,9,111,8.108108108108109
261,103.760679309,1.36364174742,Neutral,57,111,51.35135135135135
262,103.760679309,1.36364174742,Positive,45,111,40.54054054054054
263,103.760679309,1.37364174742,Negative,427,2665,16.02251407129456
264,103.760679309,1.37364174742,Neutral,1088,2665,40.82551594746717
265,103.760679309,1.37364174742,Positive,1150,2665,43.151969981238274
266,103.760679309,1.38364174742,Negative,41,500,8.200000000000001
267,103.760679309,1.38364174742,Neutral,308,500,61.6
268,103.760679309,1.38364174742,Positive,151,500,30.2
269,103.760679309,1.40364174742,Negative,9,52,17.307692307692307
270,103.760679309,1.40364174742,Neutral,23,52,44.230769230769226
271,103.760679309,1.40364174742,Positive,20,52,38.46153846153847
272,103.760679309,1.42364174742,Negative,78,1010,7.722772277227722
273,103.760679309,1.42364174742,Neutral,260,1010,25.742574257425744
274,103.760679309,1.42364174742,Positive,672,1010,66.53465346534654
275,103.760679309,1.43364174742,Negative,6,51,11.76470588235294
276,103.760679309,1.43364174742,Neutral,26,51,50.98039215686274
277,103.760679309,1.43364174742,Positive,19,51,37.25490196078432
278,103.760679309,1.45364174742,Negative,49,657,7.4581430745814306
279,103.760679309,1.45364174742,Neutral,408,657,62.10045662100456
280,103.760679309,1.45364174742,Positive,200,657,30.441400304414003
281,103.770679309,1.29364174742,Negative,30,393,7.633587786259542
282,103.770679309,1.29364174742,Neutral,179,393,45.5470737913486
283,103.770679309,1.29364174742,Positive,184,393,46.81933842239186
284,103.770679309,1.30364174742,Negative,48,537,8.938547486033519
285,103.770679309,1.30364174742,Neutral,189,537,35.19553072625698
286,103.770679309,1.30364174742,Positive,300,537,55.865921787709496
287,103.770679309,1.31364174742,Negative,22,266,8.270676691729323
288,103.770679309,1.31364174742,Neutral,165,266,62.03007518796993
289,103.770679309,1.31364174742,Positive,79,266,29.69924812030075
290,103.770679309,1.32364174742,Negative,27,368,7.336956521739131
291,103.770679309,1.32364174742,Neutral,231,368,62.77173913043478
292,103.770679309,1.32364174742,Positive,110,368,29.89130434782609
293,103.770679309,1.33364174742,Negative,21,207,10.144927536231885
294,103.770679309,1.33364174742,Neutral,69,207,33.33333333333333
295,103.770679309,1.33364174742,Positive,117,207,56.52173913043478
296,103.770679309,1.34364174742,Negative,35,453,7.72626931567329
297,103.770679309,1.34364174742,Neutral,253,453,55.84988962472406
298,103.770679309,1.34364174742,Positive,165,453,36.42384105960264
299,103.770679309,1.35364174742,Negative,25,240,10.416666666666668
300,103.770679309,1.35364174742,Neutral,148,240,61.66666666666667
301,103.770679309,1.35364174742,Positive,67,240,27.916666666666668
302,103.770679309,1.36364174742,Negative,100,338,29.585798816568047
303,103.770679309,1.36364174742,Neutral,110,338,32.544378698224854
304,103.770679309,1.36364174742,Positive,128,338,37.8698224852071
305,103.770679309,1.37364174742,Negative,24,250,9.6
306,103.770679309,1.37364174742,Neutral,144,250,57.6
307,103.770679309,1.37364174742,Positive,82,250,32.800000000000004
308,103.770679309,1.38364174742,Negative,50,594,8.417508417508419
309,103.770679309,1.38364174742,Neutral,379,594,63.804713804713806
310,103.770679309,1.38364174742,Positive,165,594,27.77777777777778
311,103.770679309,1.39364174742,Negative,20,131,15.267175572519085
312,103.770679309,1.39364174742,Neutral,52,131,39.69465648854962
313,103.770679309,1.39364174742,Positive,59,131,45.038167938931295
314,103.770679309,1.42364174742,Negative,21,231,9.090909090909092
315,103.770679309,1.42364174742,Neutral,79,231,34.1991341991342
316,103.770679309,1.42364174742,Positive,131,231,56.70995670995672
317,103.770679309,1.43364174742,Negative,19,185,10.27027027027027
318,103.770679309,1.43364174742,Neutral,110,185,59.45945945945946
319,103.770679309,1.43364174742,Positive,56,185,30.270270270270277
320,103.770679309,1.44364174742,Negative,60,720,8.333333333333332
321,103.770679309,1.44364174742,Neutral,356,720,49.44444444444444
322,103.770679309,1.44364174742,Positive,304,720,42.22222222222222
323,103.770679309,1.45364174742,Negative,10,96,10.416666666666668
324,103.770679309,1.45364174742,Neutral,59,96,61.458333333333336
325,103.770679309,1.45364174742,Positive,27,96,28.125
326,103.780679309,1.28364174742,Negative,45,253,17.786561264822133
327,103.780679309,1.28364174742,Neutral,108,253,42.68774703557312
328,103.780679309,1.28364174742,Positive,100,253,39.52569169960474
329,103.780679309,1.29364174742,Negative,97,823,11.7861482381531
330,103.780679309,1.29364174742,Neutral,368,823,44.71445929526124
331,103.780679309,1.29364174742,Positive,358,823,43.49939246658566
332,103.780679309,1.30364174742,Negative,106,2056,5.155642023346303
333,103.780679309,1.30364174742,Neutral,1236,2056,60.11673151750973
334,103.780679309,1.30364174742,Positive,714,2056,34.72762645914397
335,103.780679309,1.31364174742,Negative,42,442,9.502262443438914
336,103.780679309,1.31364174742,Neutral,226,442,51.13122171945701
337,103.780679309,1.31364174742,Positive,174,442,39.36651583710408
338,103.780679309,1.32364174742,Negative,7,100,7.000000000000001
339,103.780679309,1.32364174742,Neutral,52,100,52.0
340,103.780679309,1.32364174742,Positive,41,100,41.0
341,103.780679309,1.33364174742,Negative,67,908,7.378854625550661
342,103.780679309,1.33364174742,Neutral,410,908,45.15418502202643
343,103.780679309,1.33364174742,Positive,431,908,47.46696035242291
344,103.780679309,1.34364174742,Negative,32,611,5.237315875613748
345,103.780679309,1.34364174742,Neutral,191,611,31.26022913256956
346,103.780679309,1.34364174742,Positive,388,611,63.50245499181669
