,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
346,103.950679309,1.34364174742,Negative,98,836,11.722488038277511,0.18845215311004784
347,103.950679309,1.35364174742,Negative,105,868,12.096774193548388,0.16624032258064517
348,103.950679309,1.36364174742,Negative,24,276,8.695652173913043,0.14708949275362318
349,103.950679309,1.37364174742,Negative,145,1791,8.096035734226689,0.24757587939698494
350,103.950679309,1.38364174742,Negative,20,272,7.352941176470589,0.2212338235294118
351,103.960679309,1.31364174742,Negative,2,53,3.7735849056603774,0.20424716981132077
352,103.960679309,1.32364174742,Negative,2,52,3.8461538461538463,0.13791923076923077
353,103.960679309,1.33364174742,Negative,69,1171,5.892399658411613,0.2714895815542272
354,103.960679309,1.34364174742,Negative,28,603,4.643449419568822,0.23593880597014924
355,103.960679309,1.35364174742,Negative,46,684,6.725146198830409,0.21070672514619884
356,103.960679309,1.36364174742,Negative,19,264,7.196969696969697,0.24122386363636364
357,103.960679309,1.37364174742,Negative,31,391,7.928388746803069,0.1387150895140665
358,103.960679309,1.38364174742,Negative,7,82,8.536585365853659,0.24029878048780487
359,103.970679309,1.33364174742,Negative,7,40,17.5,0.15754
360,103.970679309,1.34364174742,Negative,1,22,4.545454545454546,0.14537272727272726
361,103.970679309,1.35364174742,Negative,12,70,17.142857142857142,0.06623
362,103.970679309,1.39364174742,Negative,1,41,2.4390243902439024,0.3647390243902439
363,103.970679309,1.40364174742,Negative,23,236,9.745762711864408,0.21876101694915254
364,103.980679309,1.31364174742,Negative,4,61,6.557377049180328,0.24628852459016393
365,103.980679309,1.33364174742,Negative,60,540,11.11111111111111,0.15502166666666664
366,103.980679309,1.34364174742,Negative,19,243,7.818930041152264,0.15903086419753087
367,103.980679309,1.35364174742,Negative,22,221,9.95475113122172,0.1214868778280543
368,103.980679309,1.38364174742,Negative,4,34,11.76470588235294,0.29306764705882354
369,103.980679309,1.39364174742,Negative,18,172,10.465116279069768,0.2578017441860465
370,103.990679309,1.31364174742,Negative,3,39,7.6923076923076925,0.21794102564102566
371,103.990679309,1.34364174742,Negative,1,16,6.25,0.07231875
372,103.990679309,1.35364174742,Negative,460,4465,10.3023516237402,0.19371449048152295
373,103.990679309,1.36364174742,Negative,431,6418,6.715487690869431,0.36087429105640384
374,103.990679309,1.38364174742,Negative,1,26,3.8461538461538463,0.29041153846153844
375,103.990679309,1.39364174742,Negative,28,371,7.547169811320755,0.19969110512129382
376,103.990679309,1.40364174742,Negative,5,42,11.904761904761903,0.18128095238095238
377,104.000679309,1.34364174742,Negative,9,84,10.714285714285714,0.1980761904761905
378,104.000679309,1.35364174742,Negative,7,103,6.796116504854369,0.2868495145631068
379,104.000679309,1.38364174742,Negative,28,312,8.974358974358974,0.21011923076923075
380,104.020679309,1.36364174742,Negative,10,146,6.849315068493151,0.2648513698630137
381,104.030679309,1.40364174742,Negative,15,78,19.230769230769237,0.06305
382,104.040679309,1.35364174742,Negative,3,26,11.538461538461538,0.3541846153846154
