,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
39,103.720679309,1.31364174742,Negative,4,44,9.090909090909092,0.2792
40,103.720679309,1.32364174742,Negative,6,90,6.666666666666667,0.2489222222222222
41,103.720679309,1.33364174742,Negative,42,534,7.865168539325842,0.22849531835205994
42,103.720679309,1.34364174742,Negative,29,459,6.318082788671024,0.1350368191721133
43,103.720679309,1.35364174742,Negative,30,528,5.681818181818182,0.20847594696969696
44,103.720679309,1.37364174742,Negative,5,75,6.666666666666667,0.2909426666666666
45,103.720679309,1.41364174742,Negative,6,29,20.689655172413797,0.11449655172413792
46,103.720679309,1.42364174742,Negative,3,31,9.67741935483871,0.09118387096774193
47,103.730679309,1.31364174742,Negative,3,35,8.571428571428571,0.29309142857142856
48,103.730679309,1.33364174742,Negative,16,251,6.374501992031872,0.19639243027888445
49,103.730679309,1.34364174742,Negative,59,694,8.501440922190202,0.2086227665706052
50,103.730679309,1.35364174742,Negative,9,87,10.344827586206897,0.10798965517241378
51,103.730679309,1.38364174742,Negative,2,22,9.090909090909092,0.11828636363636363
52,103.730679309,1.42364174742,Negative,1,17,5.88235294117647,0.2767235294117647
53,103.730679309,1.44364174742,Negative,28,264,10.606060606060606,0.19651477272727272
54,103.740679309,1.31364174742,Negative,1,30,3.333333333333333,0.18292000000000003
55,103.740679309,1.32364174742,Negative,16,140,11.428571428571429,0.15663785714285716
56,103.740679309,1.33364174742,Negative,265,2830,9.363957597173144,0.22045208480565373
57,103.740679309,1.34364174742,Negative,28,272,10.294117647058822,0.09880514705882353
58,103.740679309,1.35364174742,Negative,15,296,5.067567567567568,0.11360675675675676
59,103.740679309,1.36364174742,Negative,5,72,6.944444444444445,0.09953611111111112
60,103.740679309,1.37364174742,Negative,27,246,10.975609756097562,0.12006666666666667
61,103.740679309,1.38364174742,Negative,36,480,7.5,0.12971791666666668
62,103.740679309,1.39364174742,Negative,9,210,4.285714285714286,0.07660857142857143
63,103.740679309,1.40364174742,Negative,6,87,6.896551724137931,0.18420114942528737
64,103.750679309,1.22364174742,Negative,6,53,11.320754716981131,0.23327358490566039
65,103.750679309,1.30364174742,Negative,2,31,6.451612903225806,0.18324193548387097
66,103.750679309,1.31364174742,Negative,28,133,21.052631578947366,0.10414887218045113
67,103.750679309,1.32364174742,Negative,18,287,6.2717770034843205,0.21698606271777002
68,103.750679309,1.33364174742,Negative,50,387,12.919896640826872,0.13322403100775193
69,103.750679309,1.34364174742,Negative,17,234,7.264957264957266,0.16472948717948718
70,103.750679309,1.35364174742,Negative,51,554,9.2057761732852,0.12635108303249099
71,103.750679309,1.36364174742,Negative,23,254,9.05511811023622,0.11940590551181103
72,103.750679309,1.37364174742,Negative,30,269,11.152416356877325,0.22965018587360594
73,103.750679309,1.38364174742,Negative,96,931,10.311493018259936,0.21076530612244898
74,103.750679309,1.39364174742,Negative,40,510,7.84313725490196,0.1296907843137255
75,103.750679309,1.40364174742,Negative,6,159,3.7735849056603774,0.21724968553459123
76,103.750679309,1.41364174742,Negative,3,42,7.142857142857142,0.5034071428571428
77,103.750679309,1.43364174742,Negative,6,78,7.6923076923076925,0.2508448717948718
78,103.750679309,1.45364174742,Negative,5,116,4.310344827586207,0.21050517241379313
79,103.760679309,1.29364174742,Negative,17,164,10.365853658536585,0.22151341463414637
80,103.760679309,1.30364174742,Negative,13,179,7.262569832402235,0.16175307262569832
81,103.760679309,1.31364174742,Negative,240,1826,13.143483023001096,0.18287973713033953
82,103.760679309,1.32364174742,Negative,66,545,12.110091743119266,0.25329119266055045
83,103.760679309,1.33364174742,Negative,3,48,6.25,0.15508125
84,103.760679309,1.34364174742,Negative,17,228,7.456140350877193,0.12878947368421054
85,103.760679309,1.35364174742,Negative,33,404,8.16831683168317,0.1274982673267327
86,103.760679309,1.36364174742,Negative,9,111,8.108108108108109,0.16198738738738738
87,103.760679309,1.37364174742,Negative,427,2665,16.02251407129456,0.1535944090056285
88,103.760679309,1.38364174742,Negative,41,500,8.200000000000001,0.13073240000000003
89,103.760679309,1.40364174742,Negative,9,52,17.307692307692307,0.12866538461538463
90,103.760679309,1.42364174742,Negative,78,1010,7.722772277227722,0.44934851485148514
91,103.760679309,1.43364174742,Negative,6,51,11.76470588235294,0.19730196078431372
92,103.760679309,1.45364174742,Negative,49,657,7.4581430745814306,0.1475966514459665
93,103.770679309,1.29364174742,Negative,30,393,7.633587786259542,0.24694325699745545
94,103.770679309,1.30364174742,Negative,48,537,8.938547486033519,0.300468156424581
95,103.770679309,1.31364174742,Negative,22,266,8.270676691729323,0.1265112781954887
96,103.770679309,1.32364174742,Negative,27,368,7.336956521739131,0.14213559782608695
97,103.770679309,1.33364174742,Negative,21,207,10.144927536231885,0.3158768115942029
98,103.770679309,1.34364174742,Negative,35,453,7.72626931567329,0.18647527593818983
99,103.770679309,1.35364174742,Negative,25,240,10.416666666666668,0.13127375
100,103.770679309,1.36364174742,Negative,100,338,29.585798816568047,0.10779112426035503
101,103.770679309,1.37364174742,Negative,24,250,9.6,0.16225640000000002
102,103.770679309,1.38364174742,Negative,50,594,8.417508417508419,0.12177255892255892
103,103.770679309,1.39364174742,Negative,20,131,15.267175572519085,0.19543969465648856
104,103.770679309,1.42364174742,Negative,21,231,9.090909090909092,0.3366229437229437
105,103.770679309,1.43364174742,Negative,19,185,10.27027027027027,0.11583405405405406
106,103.770679309,1.44364174742,Negative,60,720,8.333333333333332,0.2274122222222222
107,103.770679309,1.45364174742,Negative,10,96,10.416666666666668,0.11586562499999999
108,103.780679309,1.28364174742,Negative,45,253,17.786561264822133,0.13657312252964426
109,103.780679309,1.29364174742,Negative,97,823,11.7861482381531,0.22052053462940463
110,103.780679309,1.30364174742,Negative,106,2056,5.155642023346303,0.192025826848249
111,103.780679309,1.31364174742,Negative,42,442,9.502262443438914,0.20363325791855202
112,103.780679309,1.32364174742,Negative,7,100,7.000000000000001,0.16532599999999997
113,103.780679309,1.33364174742,Negative,67,908,7.378854625550661,0.26875969162995594
114,103.780679309,1.34364174742,Negative,32,611,5.237315875613748,0.40244615384615384
115,103.780679309,1.35364174742,Negative,11,123,8.94308943089431,0.18397642276422765
116,103.780679309,1.36364174742,Negative,1,40,2.5,0.23236249999999997
117,103.780679309,1.37364174742,Negative,40,338,11.83431952662722,0.10908136094674557
118,103.780679309,1.42364174742,Negative,4,80,5.0,0.02964875
119,103.780679309,1.43364174742,Negative,67,637,10.518053375196232,0.08756043956043956
120,103.780679309,1.44364174742,Negative,337,2502,13.469224620303756,0.18849384492406077
121,103.780679309,1.45364174742,Negative,21,172,12.209302325581394,0.16790290697674418
122,103.780679309,1.46364174742,Negative,2,63,3.1746031746031744,0.16546666666666668
123,103.790679309,1.27364174742,Negative,8,145,5.517241379310345,0.22073793103448275
124,103.790679309,1.28364174742,Negative,32,309,10.355987055016184,0.11147443365695793
125,103.790679309,1.29364174742,Negative,52,708,7.344632768361582,0.28778149717514123
126,103.790679309,1.30364174742,Negative,241,4419,5.453722561665535,0.24588189635664176
127,103.790679309,1.31364174742,Negative,63,1184,5.320945945945946,0.169310472972973
128,103.790679309,1.32364174742,Negative,1,51,1.96078431372549,0.1909588235294118
129,103.790679309,1.33364174742,Negative,48,489,9.8159509202454,0.2362071574642127
130,103.790679309,1.34364174742,Negative,13,166,7.83132530120482,0.3606487951807229
131,103.790679309,1.35364174742,Negative,1,16,6.25,0.11577500000000002
132,103.790679309,1.42364174742,Negative,12,90,13.333333333333334,0.18307222222222225
133,103.790679309,1.43364174742,Negative,86,866,9.930715935334874,0.1527228637413395
134,103.790679309,1.44364174742,Negative,67,707,9.476661951909476,0.1850062234794908
135,103.790679309,1.45364174742,Negative,11,121,9.090909090909092,0.2537413223140496
136,103.800679309,1.26364174742,Negative,20,256,7.8125,0.259966796875
137,103.800679309,1.27364174742,Negative,81,987,8.206686930091186,0.26780070921985816
138,103.800679309,1.28364174742,Negative,59,746,7.908847184986595,0.27621233243967824
139,103.800679309,1.29364174742,Negative,77,740,10.405405405405403,0.1889216216216216
140,103.800679309,1.30364174742,Negative,131,1223,10.7113654946852,0.26721561733442356
141,103.800679309,1.31364174742,Negative,36,340,10.588235294117649,0.19466029411764707
142,103.800679309,1.32364174742,Negative,2,49,4.081632653061225,0.2137265306122449
143,103.800679309,1.33364174742,Negative,32,223,14.349775784753364,0.17455650224215247
144,103.800679309,1.34364174742,Negative,2,44,4.545454545454546,0.27033409090909094
145,103.800679309,1.42364174742,Negative,2,44,4.545454545454546,0.1620818181818182
146,103.800679309,1.43364174742,Negative,37,387,9.560723514211883,0.2468532299741602
147,103.800679309,1.44364174742,Negative,23,600,3.833333333333333,0.15109866666666666
148,103.800679309,1.45364174742,Negative,64,526,12.167300380228136,0.351574144486692
149,103.810679309,1.25364174742,Negative,65,772,8.419689119170984,0.257750518134715
150,103.810679309,1.26364174742,Negative,18,293,6.143344709897611,0.2571566552901024
151,103.810679309,1.27364174742,Negative,50,554,9.025270758122744,0.14704783393501805
152,103.810679309,1.28364174742,Negative,73,761,9.592641261498027,0.1838586070959264
153,103.810679309,1.29364174742,Negative,53,562,9.430604982206406,0.13326779359430604
154,103.810679309,1.30364174742,Negative,92,1024,8.984375,0.25726611328125
155,103.810679309,1.31364174742,Negative,33,427,7.728337236533958,0.24146416861826697
156,103.810679309,1.32364174742,Negative,32,408,7.84313725490196,0.2151904411764706
157,103.810679309,1.33364174742,Negative,5,98,5.1020408163265305,0.25255918367346936
158,103.810679309,1.34364174742,Negative,1,26,3.8461538461538463,0.2968923076923077
159,103.810679309,1.35364174742,Negative,5,32,15.625,0.087903125
160,103.810679309,1.36364174742,Negative,3,47,6.382978723404255,0.22560425531914896
161,103.810679309,1.37364174742,Negative,6,65,9.230769230769232,0.18252615384615384
