,lon,lat,nltk_sentiment,count,total,%neg
36,103.630679309,1.30364174742,Positive,14,23,60.86956521739131
37,103.630679309,1.31364174742,Negative,3,32,9.375
38,103.630679309,1.31364174742,Neutral,15,32,46.875
39,103.630679309,1.31364174742,Positive,14,32,43.75
40,103.630679309,1.32364174742,Negative,2,14,14.285714285714285
41,103.630679309,1.32364174742,Neutral,12,14,85.71428571428571
42,103.630679309,1.33364174742,Neutral,1,3,33.33333333333333
43,103.630679309,1.33364174742,Positive,2,3,66.66666666666666
44,103.630679309,1.34364174742,Negative,4,122,3.278688524590164
45,103.630679309,1.34364174742,Neutral,81,122,66.39344262295081
46,103.630679309,1.34364174742,Positive,37,122,30.327868852459016
47,103.630679309,1.35364174742,Negative,5,40,12.5
48,103.630679309,1.35364174742,Neutral,24,40,60.0
49,103.630679309,1.35364174742,Positive,11,40,27.500000000000004
50,103.640679309,1.20364174742,Negative,9,51,17.647058823529413
51,103.640679309,1.20364174742,Neutral,20,51,39.21568627450981
52,103.640679309,1.20364174742,Positive,22,51,43.13725490196079
53,103.640679309,1.24364174742,Neutral,1,1,100.0
54,103.640679309,1.27364174742,Negative,2,4,50.0
55,103.640679309,1.27364174742,Neutral,1,4,25.0
56,103.640679309,1.27364174742,Positive,1,4,25.0
57,103.640679309,1.28364174742,Neutral,2,3,66.66666666666666
58,103.640679309,1.28364174742,Positive,1,3,33.33333333333333
59,103.640679309,1.29364174742,Neutral,2,3,66.66666666666666
60,103.640679309,1.29364174742,Positive,1,3,33.33333333333333
61,103.640679309,1.30364174742,Neutral,3,3,100.0
62,103.640679309,1.31364174742,Negative,2,14,14.285714285714285
63,103.640679309,1.31364174742,Neutral,9,14,64.28571428571429
64,103.640679309,1.31364174742,Positive,3,14,21.428571428571427
65,103.640679309,1.32364174742,Neutral,4,10,40.0
66,103.640679309,1.32364174742,Positive,6,10,60.0
67,103.640679309,1.33364174742,Neutral,7,10,70.0
68,103.640679309,1.33364174742,Positive,3,10,30.0
69,103.640679309,1.34364174742,Negative,6,80,7.5
70,103.640679309,1.34364174742,Neutral,47,80,58.75
71,103.640679309,1.34364174742,Positive,27,80,33.75
72,103.640679309,1.35364174742,Neutral,2,4,50.0
73,103.640679309,1.35364174742,Positive,2,4,50.0
74,103.650679309,1.22364174742,Neutral,1,2,50.0
75,103.650679309,1.22364174742,Positive,1,2,50.0
76,103.650679309,1.24364174742,Neutral,1,1,100.0
77,103.650679309,1.29364174742,Neutral,1,1,100.0
78,103.650679309,1.30364174742,Negative,1,11,9.090909090909092
79,103.650679309,1.30364174742,Neutral,6,11,54.54545454545454
